GLIMMER (ver. 3.02; iterated)  predictions:
 orfID      start     end  frame  score
orf00219   205043   204177  -3     7.13
orf00220   205186   206139  +1     7.96
orf00221   206161   206301  +1    14.50
orf00222   206669   207274  +2    11.23
orf00223   207433   207561  +1     1.08
orf00225   207749   208726  +2     7.37
orf00226   208875   209204  +3     1.39
orf00227   209323   210159  +1    11.05
orf00228   210297   210653  +3     9.17
orf00229   211225   211338  +1     6.44
orf00230   211397   212161  +2     8.47
orf00231   213913   212264  -2     7.14
orf00232   214164   214697  +3     9.50
orf00233   215495   214713  -3     3.64
orf00234   215752   215630  -2     7.98
orf00235   216122   216313  +2     0.87
orf00236   216487   216359  -2     4.92
orf00237   216438   218318  +3     9.84
orf00238   218757   218560  -1     3.38
orf00239   218858   218977  +2     2.61
orf00240   219275   220942  +2     8.86
orf00241   221051   222007  +2     7.02
orf00242   222020   222943  +2     6.70
orf00243   222954   223934  +3    10.41
orf00244   223931   224941  +2     7.78
orf00245   225593   224931  -3     7.47
orf00246   225804   225574  -1     7.05
orf00247   225930   226106  +3     0.30
orf00248   226396   226515  +1     8.96
orf00249   226826   227944  +2    10.74
orf00251   228008   228967  +2    10.11
orf00252   228933   230105  +3     7.71
orf00253   230339   231610  +2     7.17
orf00254   231993   232469  +3    12.17
orf00255   232804   233079  +1    11.23
orf00256   233140   234516  +1    11.10
orf00257   234821   236407  +2    10.62
orf00258   236504   237466  +2     6.11
orf00259   238031   237459  -3     3.58
orf00260   238124   238483  +2    10.58
orf00261   238577   239590  +2     8.31
orf00262   239709   240878  +3     7.56
orf00263   241188   241475  +3     3.96
orf00264   241480   241830  +1     7.66
orf00265   241898   244066  +2     9.83
orf00267   244436   244894  +2     5.42
orf00268   248375   247944  -3    12.84
orf00269   251335   251808  +1     7.56
orf00270   251789   252481  +2     9.76
orf00271   252495   252938  +3     9.38
orf00272   252938   253954  +2    14.08
orf00274   256358   254436  -3     8.81
orf00275   256546   257175  +1     7.44
orf00276   258142   257393  -2     8.24
orf00277   258543   258827  +3    13.51
orf00279   258866   260500  +2    15.06
orf00280   260899   262446  +1    11.03
orf00281   262831   264156  +1    11.35
orf00282   264301   265002  +1     9.18
orf00283   265034   266491  +2     9.25
orf00284   268954   268523  -2    12.84
orf00285   272662   271709  -2     3.77
orf00287   273767   272895  -3     3.58
orf00288   274516   273794  -2     3.69
orf00289   275614   274820  -2     3.64
orf00290   276046   276819  +1     3.57
orf00291   277633   276860  -2     3.43
orf00292   278135   277701  -3     3.02
orf00293   279632   278301  -3     3.50
orf00294   281949   281821  -1     9.25
orf00295   282252   281968  -1    13.74
orf00296   286118   285321  -3     6.14
orf00297   286873   286136  -2     3.45
orf00298   287795   286866  -3     5.83
orf00299   288877   287864  -2     3.28
orf00300   289580   288867  -3     5.04
orf00301   292225   291794  -2    12.84
orf00302   295542   296027  +3    12.86
orf00303   296024   297175  +2     7.25
orf00304   297172   298479  +1    10.01
orf00305   298568   299287  +2    11.09
orf00306   299280   299534  +3     9.08
orf00307   299531   300214  +2    10.87
orf00308   300198   302417  +3    11.92
orf00309   302402   303817  +2     9.23
orf00310   303924   304964  +3    12.68
orf00311   304961   305548  +2    12.89
orf00312   305573   307108  +2    14.05
orf00313   307230   308501  +3    14.45
orf00314   308701   308537  -2    10.78
orf00315   309563   308718  -3    11.73
orf00316   310150   309773  -2     6.17
orf00317   310485   311174  +3    10.54
orf00318   311175   313430  +3     9.86
orf00319   313446   315455  +3    12.09
orf00320   315472   316665  +1     9.94
orf00321   316761   317531  +3     8.91
orf00322   317685   319232  +3    13.02
orf00323   319418   319567  +2     7.38
orf00324   320362   319799  -2     3.74
orf00326   320835   321854  +3     9.75
orf00328   321844   322509  +1    10.89
orf00330   322531   323385  +1    14.12
orf00332   324022   323552  -2     0.21
orf00333   324272   324081  -3     8.69
orf00334   324894   324265  -1     7.36
orf00335   325445   324936  -3    10.25
orf00336   326004   325522  -1    10.49
orf00337   326236   326352  +1     8.70
orf00338   326615   326905  +2    13.37
orf00339   326921   328378  +2    10.70
orf00340   328393   329820  +1    13.18
orf00341   330291   331196  +3     9.74
orf00342   331336   332079  +1     9.26
orf00344   332162   333598  +2    10.91
orf00345   333711   335078  +3     7.79
orf00346   335071   336522  +1    13.16
orf00347   336570   336893  +3     8.46
orf00348   338162   336933  -3    11.94
orf00350   339361   338279  -2     7.81
orf00351   340616   339513  -3     7.73
orf00353   342052   340856  -2    10.65
orf00354   342478   343854  +1    11.14
orf00355   343951   344940  +1     7.82
orf00356   345201   345770  +3     4.90
orf00357   346043   346561  +2     8.35
orf00358   346656   347363  +3     4.17
orf00359   348258   347563  -1     6.58
orf00360   349382   348273  -3     9.62
orf00361   349475   350746  +2     7.69
orf00362   352156   350735  -2     8.76
orf00363   352436   353551  +2    10.22
orf00364   353703   354311  +3     5.91
orf00365   355882   354356  -2     8.03
orf00366   356460   355897  -1     7.69
orf00367   357051   358280  +3     8.30
orf00368   358290   359336  +3    12.38
orf00369   359391   360032  +3    11.49
orf00370   361080   360073  -1     8.86
orf00371   362117   361077  -3     8.24
orf00372   363083   362166  -3     8.63
orf00373   363416   364465  +2    10.50
orf00374   365030   364662  -3     6.24
orf00375   365212   365451  +1    12.74
orf00376   365687   366208  +2     4.50
orf00378   366229   366678  +1     3.53
orf00379   366841   367509  +1     6.35
orf00380   367746   369011  +3     5.78
orf00381   369133   369249  +1     0.48
orf00382   369293   369409  +2     9.03
orf00383   369471   369665  +3     6.77
orf00384   369889   370269  +1    11.17
orf00385   370930   370298  -2     9.62
orf00386   371279   372388  +2    10.45
orf00387   372511   373293  +1     8.04
orf00388   374609   373308  -3     6.97
orf00389   376279   374753  -2     7.46
orf00390   376862   377947  +2     6.50
orf00391   378692   378000  -3     4.21
orf00392   379581   378787  -1     9.03
orf00393   380425   379703  -2     8.40
orf00395   382319   380595  -3     5.80
orf00396   382527   383819  +3    11.67
orf00398   384056   385720  +2     9.78
orf00399   385893   387530  +3    12.60
orf00400   387535   388326  +1     8.78
orf00401   388345   388500  +1     1.75
orf00402   388632   391457  +3     9.12
orf00403   393687   391498  -1     7.71
orf00404   394096   394902  +1    12.71
orf00405   394919   395578  +2    13.02
orf00406   397007   395694  -3     8.48
orf00407   397518   399257  +3     8.69
orf00408   399521   399841  +2    12.10
orf00409   399894   400586  +3     8.73
orf00410   400583   401581  +2    12.77
orf00411   401578   402327  +1     9.18
orf00412   402619   404163  +1     9.12
orf00413   406648   404624  -2     7.14
orf00415   407020   407391  +1    10.11
orf00416   407402   407716  +2     6.94
orf00417   407730   407981  +3     5.75
orf00419   408264   408845  +3     9.21
orf00420   408912   410144  +3     8.14
orf00421   410258   410452  +2     7.07
orf00422   410465   410857  +2     4.45
orf00423   412167   410884  -1     7.16
orf00424   413589   412276  -1     6.11
orf00425   413743   414036  +1     6.60
orf00426   414384   415910  +3     9.39
orf00430   416688   415915  -1     6.45
orf00431   416891   417769  +2     9.85
orf00432   417898   418494  +1     8.80
orf00433   418518   419102  +3    12.12
orf00434   419183   419767  +2    12.06
orf00435   419841   420632  +3    10.99
orf00436   420742   422373  +1     7.93
orf00437   422392   423474  +1    12.12
orf00440   426176   423510  -3     7.05
orf00441   426592   426368  -2    13.21
orf00442   426767   427231  +2     8.49
orf00443   427285   427767  +1    15.36
orf00445   427806   428675  +3     6.11
orf00447   430785   428860  -1    10.02
orf00448   431056   432006  +1     8.43
orf00450   432129   432809  +3     7.41
orf00451   433042   433395  +1     9.40
orf00452   433392   433574  +3     7.36
orf00453   436380   433618  -1     6.90
orf00454   436855   437445  +1     8.15
orf00455   437882   437454  -3     8.42
orf00457   438135   437989  -1    16.46
orf00458   438705   438289  -1     4.64
orf00459   438885   439940  +3     9.20
orf00460   440022   440819  +3     7.22
orf00461   441981   440854  -1     7.56
orf00462   442195   442377  +1    17.50
orf00463   442584   444104  +3    12.71
orf00464   444231   445013  +3    11.49
orf00465   445073   445261  +2     8.91
orf00466   445295   445936  +2     8.36
orf00467   445947   447326  +3    13.29
orf00468   448511   447387  -3     3.60
orf00469   449430   449227  -1     1.96
orf00470   450106   451281  +1     3.33
orf00471   451299   451445  +3    11.18
orf00472   451613   451747  +2    11.22
orf00473   452116   451775  -2     5.75
orf00474   452291   452512  +2     4.30
orf00475   452530   453261  +1     8.06
orf00476   453306   453656  +3     6.12
orf00477   453653   453820  +2     5.41
orf00478   453850   454035  +1     2.12
orf00479   454032   454904  +3     3.14
orf00480   454873   455676  +1     4.55
orf00481   455692   455886  +1     7.81
orf00482   455911   456084  +1     8.66
orf00483   456365   456781  +2     5.06
orf00484   456797   457261  +2    10.60
orf00485   457299   457478  +3     8.99
orf00486   457527   457811  +3     6.02
orf00487   458011   458610  +1     8.37
orf00488   459042   459179  +3     5.23
orf00489   459223   459627  +1     7.57
orf00490   459627   460073  +3     5.32
orf00492   460114   460296  +1     7.31
orf00493   460328   460702  +2     5.38
orf00494   460808   461164  +2     7.26
orf00495   461385   461507  +3     6.04
orf00496   461623   461793  +1    10.38
orf00497   461821   462303  +1     8.19
orf00498   462624   462845  +3     2.88
orf00500   463434   463736  +3     2.02
orf00501   463733   463900  +2     4.88
orf00502   463897   464043  +1    10.33
orf00503   464144   464515  +2     6.45
orf00504   464686   466200  +1     6.37
orf00505   466471   467436  +1     6.45
orf00506   467393   467974  +2     3.34
orf00507   467993   469183  +2    10.97
orf00508   469199   469456  +2    12.92
orf00509   469453   469725  +1     2.26
orf00510   469722   470021  +3     5.77
orf00511   470014   470370  +1    12.42
orf00512   470502   470696  +3     2.51
orf00513   470697   471266  +3     6.14
orf00514   471271   471633  +1     7.09
orf00515   471744   471857  +3     4.99
orf00517   471875   475810  +2     6.81
orf00518   475807   476616  +1     3.46
orf00519   476631   480209  +3     4.44
orf00520   480275   480436  +2    11.81
orf00521   480505   482139  +1     4.02
orf00522   482157   482636  +3    10.80
orf00523   482731   482970  +1     7.20
orf00524   483043   483186  +1     8.98
orf00525   483186   483983  +3     6.81
orf00526   484372   484037  -2     5.94
orf00527   484752   485489  +3     9.97
orf00528   485743   485540  -2     1.58
orf00529   487230   485827  -1     6.55
orf00530   487504   487758  +1     9.36
orf00531   487863   489284  +3     8.46
orf00532   489380   490660  +2    11.92
orf00533   491408   490755  -3     8.76
orf00536   491538   492149  +3     8.51
orf00537   492264   492422  +3    14.73
orf00538   492786   492445  -1     6.38
orf00539   493891   492962  -2    10.52
orf00540   493961   494074  +2     4.60
orf00541   494216   495709  +2    12.53
orf00542   495964   497202  +1     9.60
orf00543   497356   497757  +1     8.66
orf00544   497774   497968  +2     8.93
orf00545   497949   499529  +3     7.90
orf00546   499519   499719  +1     4.55
orf00547   500085   500762  +3     7.41
orf00548   500759   501724  +2    10.26
orf00549   501717   503261  +3     7.52
orf00550   503601   505850  +3    11.69
orf00551   505920   506651  +3     7.97
orf00552   507064   508230  +1     8.99
orf00553   508714   508595  -2     6.56
orf00554   509382   508825  -1    11.23
orf00555   510754   509624  -2     4.92
orf00556   511800   510895  -1     5.21
orf00557   511882   512694  +1     9.03
orf00558   512710   513021  +1     9.77
orf00559   513238   513086  -2     5.31
orf00560   513440   513282  -3     7.61
orf00561   513562   513828  +1    10.82
orf00562   514833   513853  -1     3.56
orf00563   514983   516080  +3    10.26
orf00564   516339   516115  -1     7.24
orf00565   516465   516752  +3    11.54
orf00566   516864   516736  -1     0.79
orf00567   516941   517201  +2     8.18
orf00568   517272   517159  -1     3.28
orf00570   517434   517964  +3     6.87
orf00571   518019   519779  +3     9.70
orf00572   520881   519793  -1     9.04
orf00573   525578   521142  -3     7.89
orf00574   527082   525778  -1    13.21
orf00575   527204   528217  +2     9.17
orf00576   528210   529001  +3     6.57
orf00577   529006   529791  +1     6.81
orf00578   529864   530268  +1     6.87
orf00580   530313   530768  +3     8.73
orf00581   531066   531494  +3     7.87
orf00582   532049   531693  -3     5.62
orf00583   534595   534164  -2    12.39
orf00584   537145   537618  +1     2.95
orf00585   539168   538848  -3     2.78
orf00587   539521   540240  +1    13.61
orf00588   540391   540852  +1     9.08
orf00589   541339   542115  +1     9.11
orf00590   542303   542956  +2    10.21
orf00591   543343   544485  +1    10.81
orf00592   544530   545417  +3     8.16
orf00593   545476   545964  +1    10.78
orf00594   546092   548161  +2     7.96
orf00595   548339   548479  +2     0.76
orf00597   548553   550448  +3     8.41
orf00599   550894   552069  +1     9.12
orf00601   552231   555443  +3     7.78
orf00602   555598   556464  +1     8.44
orf00604   558118   556568  -2     7.26
orf00605   558387   561284  +3     9.10
orf00606   561531   562079  +3     8.15
orf00607   562092   563672  +3    16.71
orf00608   563909   565885  +2     9.45
orf00609   566043   567647  +3    10.48
orf00610   567647   568030  +2     9.49
orf00611   568021   568338  +1     1.48
orf00612   569686   568382  -2    10.47
orf00613   569938   570192  +1     9.74
orf00614   570327   570830  +3    11.59
orf00615   571156   571989  +1    10.13
orf00616   572548   573114  +1     7.04
orf00617   573111   574208  +3     8.77
orf00618   574208   575140  +2     5.58
orf00619   575137   575958  +1     6.60
orf00620   575980   577356  +1    12.85
orf00621   577772   578476  +2     8.71
orf00622   578626   579297  +1    11.11
orf00623   579294   580544  +3     5.70
orf00624   580751   581572  +2    12.94
orf00625   581616   582332  +3     9.16
orf00626   582586   584568  +1    10.46
orf00627   584647   586251  +1     8.67
orf00628   586248   586955  +3     8.39
orf00629   587078   588424  +2     9.99
orf00630   588484   589683  +1    11.75
orf00631   590503   589979  -2     6.72
orf00632   591545   590619  -3     5.69
orf00633   591666   593066  +3     6.99
orf00634   593612   593100  -3    12.09
orf00635   595222   593759  -2     5.67
orf00636   595959   595288  -1     6.21
orf00637   596289   596411  +3    12.27
orf00639   597299   596793  -3    10.04
orf00640   598334   597528  -3     4.13
orf00642   598638   601574  +3     7.92
orf00643   601587   601712  +3    19.00
orf00644   601725   602069  +3     9.77
orf00647   602226   604097  +3     8.04
orf00648   604465   605598  +1    12.17
orf00650   605702   607117  +2    11.63
orf00651   607384   607761  +1     9.07
orf00653   607786   610152  +1    11.10
orf00655   611819   610356  -3     7.75
orf00656   612020   613288  +2     5.54
orf00657   613291   613422  +1    10.76
orf00659   613589   615289  +2    11.47
orf00661   615900   615352  -1     3.46
orf00662   616279   616797  +1     9.41
orf00663   616813   617085  +1    10.17
orf00665   618396   617134  -1     7.44
orf00666   619647   618631  -1     5.88
orf00667   621086   619908  -3     6.12
orf00668   621256   621564  +1     5.93
orf00669   621672   622757  +3     8.45
orf00670   622841   624274  +2    12.17
orf00671   625933   624314  -2     9.39
orf00672   626770   627057  +1     7.21
orf00673   627172   627351  +1    10.34
orf00674   628750   627392  -2     9.08
orf00675   630097   629132  -2    11.86
orf00678   630270   631274  +3    10.31
orf00679   631271   632329  +2    10.84
orf00681   632342   633163  +2    12.21
orf00682   633926   633195  -3     6.43
orf00683   634139   635329  +2    12.55
orf00684   635374   636327  +1    11.09
orf00685   636393   636815  +3    11.84
orf00687   638735   636855  -3     6.88
orf00688   639632   638739  -3    12.31
orf00690   641289   639760  -1     5.73
orf00691   641473   641709  +1     9.58
orf00692   641740   642078  +1    10.87
orf00694   642437   644140  +2     5.17
orf00695   645568   644171  -2     8.42
orf00696   646020   646730  +3     8.59
orf00697   646868   648295  +2    11.63
orf00698   648309   649970  +3     9.43
orf00699   651126   650002  -1     6.03
orf00700   652213   651107  -2     5.35
orf00701   653696   652194  -3     6.34
orf00702   653846   654532  +2     4.68
orf00703   654556   655527  +1     9.88
orf00704   655655   657115  +2    10.40
orf00705   657192   657980  +3     8.42
orf00707   657993   658823  +3    12.83
orf00708   658886   659542  +2     7.93
orf00709   659543   660187  +2     7.59
orf00711   660392   661819  +2     8.72
orf00712   661794   662171  +3    10.66
orf00713   662233   662667  +1     8.40
orf00714   662844   663401  +3     5.36
orf00715   663367   664800  +1     4.73
orf00716   665787   664834  -1     4.77
orf00717   665894   666415  +2    11.48
orf00718   667820   666429  -3     4.97
orf00719   668509   667832  -2     7.15
orf00720   668683   668922  +1    11.16
orf00721   668933   669934  +2    12.41
orf00723   670092   671543  +3    10.27
orf00724   671609   672031  +2    10.14
orf00725   672249   672365  +3    14.55
orf00726   674250   672469  -1    10.43
orf00727   675170   674265  -3     7.14
orf00728   676157   675189  -3     7.98
orf00729   677098   676172  -2     6.85
orf00730   678104   677085  -3     8.70
orf00731   679738   678389  -2     9.22
orf00732   680011   680469  +1     9.95
orf00733   680489   681919  +2    11.28
orf00734   681916   682089  +1     5.17
orf00735   682227   683198  +3    11.03
orf00736   683212   684108  +1    10.70
orf00737   684105   684500  +3    10.40
orf00738   684513   686003  +3    10.09
orf00739   686006   686941  +2    11.89
orf00740   686956   687882  +1    13.60
orf00741   687917   688564  +2    14.80
orf00743   688881   691280  +3    10.39
orf00744   691599   691940  +3     3.09
orf00745   693150   691978  -1     7.06
orf00746   693376   694428  +1    13.29
orf00747   694547   694891  +2     5.50
orf00748   695145   695996  +3    10.27
orf00749   696070   697071  +1     6.77
orf00750   697179   698351  +3     6.24
orf00751   698339   699652  +2     7.90
orf00753   700811   699660  -3     3.80
orf00754   700984   701187  +1     3.53
orf00755   702057   701245  -1     6.71
orf00756   703134   702190  -1     9.91
orf00757   703355   704617  +2    12.36
orf00758   704730   704948  +3    10.37
orf00759   704941   705414  +1     4.73
orf00760   705531   706163  +3    10.66
orf00761   707577   706192  -1     7.29
orf00762   707830   709131  +1     9.38
orf00763   709267   710988  +1     5.19
orf00764   712571   711024  -3    10.56
orf00765   714144   712753  -1     8.25
orf00766   714425   715717  +2    11.36
orf00767   715849   716049  +1     8.09
orf00768   716054   716482  +2     7.00
orf00769   716957   716520  -3     5.71
orf00770   717193   716972  -2     3.82
orf00772   719112   717283  -1     8.18
orf00774   719645   719334  -3     6.09
orf00775   720248   719646  -3     5.45
orf00776   722196   720262  -1     8.09
orf00777   723105   722230  -1     7.58
orf00779   723641   724351  +2     8.42
orf00780   724484   725659  +2     8.86
orf00781   725661   725858  +3     9.49
orf00782   725855   727327  +2     8.32
orf00783   727439   728908  +2     8.08
orf00784   728909   730033  +2     4.44
orf00785   730017   731183  +3     7.25
orf00786   731195   731332  +2     2.14
orf00787   732794   731394  -3     7.62
orf00788   733494   732772  -1     8.13
orf00789   733748   733491  -3     5.97
orf00790   734261   735160  +2    13.53
orf00791   735231   736121  +3     9.05
orf00792   736124   737044  +2     9.00
orf00793   737230   737754  +1     4.31
orf00796   740842   737798  -2     5.69
orf00798   743705   743274  -3    12.67
orf00799   748237   748656  +1    11.42
orf00800   748951   750102  +1     5.77
orf00801   750316   750161  -2     2.26
orf00802   750663   750331  -1     1.98
orf00803   751829   750669  -3     6.72
orf00804   752460   753155  +3     7.30
orf00806   753124   753873  +1     6.76
orf00807   753873   754625  +3    10.04
orf00808   754622   755623  +2    12.23
orf00809   755634   756254  +3     5.95
orf00810   756247   757356  +1    10.09
orf00811   757372   757575  +1    10.71
orf00812   757578   758348  +3    13.44
orf00814   758341   759360  +1     8.99
orf00815   759376   760188  +1    13.97
orf00816   760630   760899  +1     0.21
orf00817   760922   761146  +2     4.16
orf00818   761176   761307  +1     3.31
orf00820   761854   763521  +1     9.78
orf00822   763535   765625  +2    10.96
orf00824   765642   766223  +3     8.96
orf00825   766286   767434  +2    10.27
orf00827   768640   767459  -2     5.87
orf00828   768781   769242  +1     9.20
orf00829   769371   770225  +3    10.82
orf00830   770395   770556  +1     8.77
orf00831   771955   770654  -2    12.55
orf00832   772157   773023  +2    11.07
orf00833   773090   773326  +2     2.52
orf00835   773452   773850  +1     7.35
orf00836   773955   774206  +3     1.27
orf00837   775158   774217  -1     7.44
orf00838   776630   775155  -3     5.65
orf00839   778024   776648  -2    10.24
orf00840   779139   778153  -1     8.22
orf00841   779472   779257  -1     4.65
orf00842   779964   779545  -1    10.21
orf00843   780396   779977  -1     8.01
orf00844   780810   780562  -1     6.97
orf00845   781436   780927  -3     7.20
orf00846   782102   781482  -3     2.96
orf00847   782590   782222  -2     3.35
orf00848   783598   782603  -2     5.51
orf00849   785187   783682  -1     7.60
orf00850   785557   785312  -2     8.24
orf00851   785907   785563  -1     9.86
orf00852   786140   786700  +2     9.62
orf00853   786816   788234  +3     9.03
orf00854   788227   788364  +1     1.26
orf00855   788342   789604  +2     8.26
orf00857   790196   789726  -3     8.76
orf00858   790294   790878  +1     8.41
orf00859   791012   791596  +2     7.70
orf00860   791805   793469  +3     8.60
